"Gene"	"chromosome"	"start"	"end"	"gene_biotype"	"RealData"	"nRealBetter"
"KIF2C"	"chr1"	45205490	45233439	"protein_coding"	3	99
"TPM3"	"chr1"	154127784	154167124	"protein_coding"	3	100
"GATAD2B"	"chr1"	153777201	153895451	"protein_coding"	3	100
"ASXL2"	"chr2"	25956622	26101385	"protein_coding"	3	96
"TBCK"	"chr4"	106962756	107242652	"protein_coding"	3	98
"NAF1"	"chr4"	164031225	164088073	"protein_coding"	3	100
"FARS2"	"chr6"	5261277	5771813	"protein_coding"	3	46
"C7orf55-LUC7L2"	"chr7"	139025105	139108198	"protein_coding"	3	100
"CASK"	"chrX"	41374187	41782716	"protein_coding"	3	97
"KDM6A"	"chrX"	44732757	44971847	"protein_coding"	3	100
"HMBOX1"	"chr8"	28747911	28922281	"protein_coding"	3	100
"WHSC1L1"	"chr8"	38127215	38239790	"protein_coding"	3	100
"EIF3H"	"chr8"	117654369	117779164	"protein_coding"	3	99
"ZCCHC7"	"chr9"	37120536	37358146	"protein_coding"	3	98
"SLC25A25"	"chr9"	130830480	130871524	"protein_coding"	3	100
"ZEB1"	"chr10"	31607424	31818742	"protein_coding"	3	100
"HERC4"	"chr10"	69681665	69835105	"protein_coding"	3	100
"AASDHPPT"	"chr11"	105946228	105969437	"protein_coding"	3	100
"FERMT3"	"chr11"	63974150	63991354	"protein_coding"	3	100
"SRFBP1"	"chr5"	121297656	121411265	"protein_coding"	3	100
"NR3C2"	"chr4"	148999913	149365850	"protein_coding"	3	98
"PARP8"	"chr5"	49961733	50142356	"protein_coding"	3	99
"DST"	"chr6"	56322785	56819426	"protein_coding"	3	54
"MBNL1"	"chr3"	151961617	152183569	"protein_coding"	3	96
"UTRN"	"chr6"	144606837	145174170	"protein_coding"	3	45
"TXNDC11"	"chr16"	11772936	11836734	"protein_coding"	3	100
"RASSF3"	"chr12"	65004293	65091347	"protein_coding"	3	100
"ASAP1"	"chr8"	131064353	131455906	"protein_coding"	3	99
"MSI2"	"chr17"	55333212	55762046	"protein_coding"	3	42
"UBASH3B"	"chr11"	122526383	122685181	"protein_coding"	3	97
"PITPNC1"	"chr17"	65373575	65693372	"protein_coding"	3	61
"C21orf91"	"chr21"	19161284	19191703	"protein_coding"	3	100
"VOPP1"	"chr7"	55503749	55640681	"protein_coding"	3	98
"ZFAND3"	"chr6"	37787275	38122400	"protein_coding"	3	80
"NPTN"	"chr15"	73852355	73926475	"protein_coding"	3	100
"NSMCE2"	"chr8"	126103921	126379362	"protein_coding"	3	99
"RNF111"	"chr15"	59157374	59389618	"protein_coding"	3	100
"TMEM164"	"chrX"	109245859	109425962	"protein_coding"	3	100
"EYA3"	"chr1"	28296855	28415207	"protein_coding"	3	98
"AHCYL2"	"chr7"	128864864	129070052	"protein_coding"	3	98
"ZNF276"	"chr16"	89786808	89807311	"protein_coding"	3	100
"EPB41"	"chr1"	29213603	29446553	"protein_coding"	3	77
"RUNX1"	"chr21"	36160098	37376965	"protein_coding"	3	93
"ARHGAP35"	"chr19"	47421933	47508334	"protein_coding"	3	99
"AGPAT3"	"chr21"	45285067	45406417	"protein_coding"	3	100
"TRAPPC10"	"chr21"	45432200	45526433	"protein_coding"	3	100
"GAB3"	"chrX"	153903529	153979858	"protein_coding"	3	100
"ITGB2"	"chr21"	46305868	46351904	"protein_coding"	3	100
"AMICA1"	"chr11"	118064455	118095809	"protein_coding"	3	100
"PPP1R16A"	"chr8"	145703352	145727504	"protein_coding"	3	100
"ACOX1"	"chr17"	73937588	73975515	"protein_coding"	3	100
"PRPSAP1"	"chr17"	74305567	74380602	"protein_coding"	3	99
"WDR90"	"chr16"	699311	717833	"protein_coding"	3	100
"CLPB"	"chr11"	72003469	72145692	"protein_coding"	3	97
"SLC30A7"	"chr1"	101361632	101447309	"protein_coding"	3	100
"WDR26"	"chr1"	224572845	224624735	"protein_coding"	3	100
"SNRK"	"chr3"	43328004	43466256	"protein_coding"	3	100
"NAA15"	"chr4"	140222609	140341187	"protein_coding"	3	100
"RICTOR"	"chr5"	38938021	39074510	"protein_coding"	3	100
"YWHAZ"	"chr8"	101928753	101965616	"protein_coding"	3	100
"DDX26B"	"chrX"	134654584	134716435	"protein_coding"	3	100
"KIAA0355"	"chr19"	34745442	34846491	"protein_coding"	3	98
"PBX3"	"chr9"	128509624	128729656	"protein_coding"	3	100
"CDK12"	"chr17"	37617764	37721160	"protein_coding"	3	97
"STIM1"	"chr11"	3875757	4114439	"protein_coding"	3	88
"C2CD3"	"chr11"	73723763	73882255	"protein_coding"	3	95
"SF1"	"chr11"	64532078	64546258	"protein_coding"	3	100
"DNAJC7"	"chr17"	40128451	40173394	"protein_coding"	3	100
"STAT3"	"chr17"	40465342	40540586	"protein_coding"	3	100
"CSNK1G1"	"chr15"	64457716	64648442	"protein_coding"	3	100
"CA5B"	"chrX"	15706953	15805747	"protein_coding"	3	100
"SIN3A"	"chr15"	75661720	75748183	"protein_coding"	3	100
"WIBG"	"chr12"	56295197	56326402	"protein_coding"	3	100
"ATF7"	"chr12"	53901640	54020199	"protein_coding"	3	99
"FOXN2"	"chr2"	48541776	48606433	"protein_coding"	3	100
"USP32"	"chr17"	58256455	58499831	"protein_coding"	3	77
"PIK3CD"	"chr1"	9711790	9789172	"protein_coding"	3	97
"ATF7IP"	"chr12"	14518610	14651697	"protein_coding"	3	97
"BCL2"	"chr18"	60790579	60987361	"protein_coding"	3	100
"JMJD1C"	"chr10"	64926981	65225722	"protein_coding"	3	98
"MOB3A"	"chr19"	2071037	2096672	"protein_coding"	3	100
"PTPRM"	"chr18"	7566780	8406859	"protein_coding"	3	88
"PEAK1"	"chr15"	77400471	77712486	"protein_coding"	3	95
"TNFRSF10D"	"chr8"	22993101	23021543	"protein_coding"	3	100
"PHC3"	"chr3"	169804520	169899537	"protein_coding"	3	100
"DENND4A"	"chr15"	65950384	66084631	"protein_coding"	3	100
"KCTD13"	"chr16"	29916333	29938356	"protein_coding"	3	100
"PCCA"	"chr13"	100741269	101182686	"protein_coding"	3	99
"CKAP5"	"chr11"	46764598	46867847	"protein_coding"	3	99
"CCDC57"	"chr17"	80059336	80170706	"protein_coding"	3	100
"RTTN"	"chr18"	67671029	67873181	"protein_coding"	3	100
"ACSF3"	"chr16"	89154783	89222254	"protein_coding"	3	100
"FAM91A1"	"chr8"	124780696	124827692	"protein_coding"	3	100
"CHD9"	"chr16"	53088945	53363062	"protein_coding"	3	89
"NR2C2"	"chr3"	14989091	15095107	"protein_coding"	3	100
"KIAA0195"	"chr17"	73437240	73496171	"protein_coding"	3	100
"CTC1"	"chr17"	8130191	8151362	"protein_coding"	3	100
"ZNF609"	"chr15"	64752941	64978264	"protein_coding"	3	100
"PAK2"	"chr3"	196466728	196559518	"protein_coding"	3	100
"HIST1H2AC"	"chr6"	26124373	26139344	"protein_coding"	3	100
"ZFP82"	"chr19"	36874022	36909558	"protein_coding"	3	100
"EHMT1"	"chr9"	140513444	140764468	"protein_coding"	3	99
"ZNF708"	"chr19"	21473962	21512227	"protein_coding"	3	100
"IST1"	"chr16"	71879899	71962913	"protein_coding"	3	100
"C1S"	"chr12"	7096351	7178336	"protein_coding"	3	100
"PLCB1"	"chr20"	8112824	8949003	"protein_coding"	3	94
"KIAA2026"	"chr9"	5881596	6007901	"protein_coding"	3	100
"TRIM52"	"chr5"	180681417	180688119	"protein_coding"	3	100
"PTP4A2"	"chr1"	32372022	32410457	"protein_coding"	3	99
"KNTC1"	"chr12"	123011793	123110943	"protein_coding"	3	100
"PDE4B"	"chr1"	66258197	66840259	"protein_coding"	3	29
"NELL2"	"chr12"	44902058	45315631	"protein_coding"	3	65
"SEPT9"	"chr17"	75276651	75496678	"protein_coding"	3	79
"FAF1"	"chr1"	50905150	51425935	"protein_coding"	3	36
"HSF1"	"chr8"	145515280	145538385	"protein_coding"	3	100
"PRMT3"	"chr11"	20409076	20530840	"protein_coding"	3	100
"SP1"	"chr12"	53773960	53810230	"protein_coding"	3	100
"PSMD13"	"chr11"	236546	252983	"protein_coding"	3	100
"UBE2L3"	"chr22"	21903736	21978323	"protein_coding"	3	100
"BRWD1"	"chr21"	40556102	40693485	"protein_coding"	3	100
"DRG1"	"chr22"	31795509	31924726	"protein_coding"	3	99
"UBE2H"	"chr7"	129470572	129592789	"protein_coding"	3	100
"ZC3H6"	"chr2"	113033171	113097640	"protein_coding"	3	100
"DPYD"	"chr1"	97543299	98386605	"protein_coding"	3	9
"ZNF292"	"chr6"	87862551	87973914	"protein_coding"	3	99
"ARID2"	"chr12"	46123448	46301823	"protein_coding"	3	94
"HN1"	"chr17"	73131343	73164376	"protein_coding"	3	100
"SUPT3H"	"chr6"	44777054	45345690	"protein_coding"	3	51
"GIMAP5"	"chr7"	150419341	150447121	"protein_coding"	3	100
"XRCC6"	"chr22"	42017123	42060044	"protein_coding"	3	100
"ZNF512B"	"chr20"	62588055	62680113	"protein_coding"	3	100
"STRN3"	"chr14"	31363005	31495607	"protein_coding"	3	100
"KPNA5"	"chr6"	117002350	117063029	"protein_coding"	3	100
"KIAA1671"	"chr22"	25348697	25593415	"protein_coding"	3	100
"PCBP2"	"chr12"	53835525	53874946	"protein_coding"	3	100
"SND1"	"chr7"	127292234	127732661	"protein_coding"	3	82
"BLM"	"chr15"	91260558	91358859	"protein_coding"	3	100
"TRIM33"	"chr1"	114935399	115053781	"protein_coding"	3	94
"PELI1"	"chr2"	64319786	64371588	"protein_coding"	3	100
"HTT"	"chr4"	3076408	3245676	"protein_coding"	3	100
"FAR1"	"chr11"	13690217	13753893	"protein_coding"	3	99
"ZNF44"	"chr19"	12335501	12405702	"protein_coding"	3	99
"DNM3"	"chr1"	171810621	172387606	"protein_coding"	3	100
"MIER1"	"chr1"	67390578	67454302	"protein_coding"	3	99
"ZNF251"	"chr8"	145946298	145981802	"protein_coding"	3	100
"LRBA"	"chr4"	151185594	151936879	"protein_coding"	3	75
"TTC37"	"chr5"	94799599	94890711	"protein_coding"	3	100
"ZNF652"	"chr17"	47366568	47439835	"protein_coding"	3	100
"MTOR"	"chr1"	11166592	11322564	"protein_coding"	3	92
"FOXJ3"	"chr1"	42642210	42801548	"protein_coding"	3	88
"PHACTR4"	"chr1"	28696114	28826881	"protein_coding"	3	89
"TMEM57"	"chr1"	25757388	25826700	"protein_coding"	3	100
"ABCF1"	"chr6"	30539153	30564956	"protein_coding"	3	100
"PDE7A"	"chr8"	66629745	66754557	"protein_coding"	3	100
"SARNP"	"chr12"	56146247	56211540	"protein_coding"	3	99
"DENND1B"	"chr1"	197473878	197744826	"protein_coding"	3	100
"NOTCH2NL"	"chr1"	145209119	145291972	"protein_coding"	3	100
"DNASE1"	"chr16"	3661729	3730144	"protein_coding"	3	99
"ZNF407"	"chr18"	72265106	72777627	"protein_coding"	3	100
"ENSG00000228395"	"chr9"	131291180	131314689	"antisense"	3	100
"TAPBP"	"chr6"	33267471	33282164	"protein_coding"	3	100
"ENSG00000233937"	"chr5"	180673523	180699168	"antisense"	3	100
"ENSG00000235085"	"chr17"	4578674	4600126	"antisense"	3	100
"ARFGAP3"	"chr22"	43192508	43254112	"protein_coding"	3	100
"RBM14-RBM4"	"chr11"	66384097	66413940	"protein_coding"	3	100
"ENSG00000249753"	"chr12"	64017568	64189498	"antisense"	3	99
"CKLF-CMTM1"	"chr16"	66586490	66613038	"protein_coding"	3	100
"ENSG00000257337"	"chr12"	53408380	53448222	"antisense"	3	100
"ENSG00000257390"	"chr12"	56151059	56221330	"protein_coding"	3	99
"ENSG00000259316"	"chr15"	64472547	64665980	"protein_coding"	3	100
"ENSG00000259529"	"chr14"	24620427	24636611	"protein_coding"	3	100
"ENSG00000262370"	"chr16"	3126912	3137101	"lincRNA"	3	100
"ENSG00000263069"	"chr17"	78325628	78388968	"antisense"	3	100
"ENSG00000264058"	"chr17"	38785049	38821393	"protein_coding"	3	100
"ENSG00000264538"	"chr17"	29036317	29117926	"pseudogene"	3	99
"ENSG00000265987"	"chr17"	73340486	73369743	"antisense"	3	100
"ENSG00000267281"	"chr12"	53900472	54019763	"protein_coding"	3	99
"ENSG00000267758"	"chr17"	40420605	40421825	"antisense"	3	100
"ENSG00000269967"	"chr1"	32317514	32387442	"lincRNA"	3	100
"ENSG00000272305"	"chr3"	53003135	53133469	"protein_coding"	3	100
"NUDT3"	"chr6"	34247456	34360451	"protein_coding"	3	100
"CFLAR"	"chr2"	201980827	202041410	"protein_coding"	2	100
"RBM5"	"chr3"	50126341	50156454	"protein_coding"	2	99
"SLC25A13"	"chr7"	95749532	95951459	"protein_coding"	2	80
"CDC27"	"chr17"	45195069	45266788	"protein_coding"	2	94
"CCDC109B"	"chr4"	110481361	110609874	"protein_coding"	2	99
"RPAP3"	"chr12"	48057070	48099844	"protein_coding"	2	100
"MYCBP2"	"chr13"	77618792	77901185	"protein_coding"	2	100
"ITGAL"	"chr16"	30483979	30534506	"protein_coding"	2	99
"SYNRG"	"chr17"	35874900	35969544	"protein_coding"	2	85
"RALA"	"chr7"	39663082	39747723	"protein_coding"	2	99
"KDM7A"	"chr7"	139784546	139876835	"protein_coding"	2	99
"AGK"	"chr7"	141250989	141355044	"protein_coding"	2	96
"MARK4"	"chr19"	45582546	45808541	"protein_coding"	2	54
"DNAH9"	"chr17"	11501748	11873065	"protein_coding"	2	14
"ST7L"	"chr1"	113066140	113163447	"protein_coding"	2	86
"TKTL1"	"chrX"	153524024	153558700	"protein_coding"	2	100
"JARID2"	"chr6"	15246527	15522252	"protein_coding"	2	61
"NADK"	"chr1"	1682671	1711896	"protein_coding"	2	100
"SYPL1"	"chr7"	105730949	105753022	"protein_coding"	2	100
"ST3GAL1"	"chr8"	134467091	134584183	"protein_coding"	2	100
"UBE3C"	"chr7"	156931607	157062066	"protein_coding"	2	94
"RANBP9"	"chr6"	13621730	13711796	"protein_coding"	2	98
"NCAPD2"	"chr12"	6602522	6641121	"protein_coding"	2	100
"FYN"	"chr6"	111981535	112194655	"protein_coding"	2	65
"HIVEP2"	"chr6"	143072604	143266338	"protein_coding"	2	76
"BTBD7"	"chr14"	93703896	93799438	"protein_coding"	2	100
"PTBP1"	"chr19"	797075	812327	"protein_coding"	2	100
"PIK3C2A"	"chr11"	17099277	17229530	"protein_coding"	2	88
"MAP4K3"	"chr2"	39476407	39664453	"protein_coding"	2	85
"ZBTB32"	"chr19"	36195429	36207940	"protein_coding"	2	100
"CD6"	"chr11"	60739115	60787849	"protein_coding"	2	98
"ZC3H3"	"chr8"	144519825	144623623	"protein_coding"	2	100
"YAF2"	"chr12"	42550906	42632151	"protein_coding"	2	95
"MATR3"	"chr5"	138609441	138667360	"protein_coding"	2	99
"ZRANB1"	"chr10"	126630692	126676758	"protein_coding"	2	100
"CPS1"	"chr2"	211342406	211543831	"protein_coding"	2	100
"DEPDC1"	"chr1"	68939835	68962904	"protein_coding"	2	100
"NCAPH2"	"chr22"	50946645	50961901	"protein_coding"	2	100
"KPNA6"	"chr1"	32573639	32642169	"protein_coding"	2	89
"POU2F2"	"chr19"	42590263	42700737	"protein_coding"	2	87
"IKZF2"	"chr2"	213864429	214017151	"protein_coding"	2	100
"RANBP3"	"chr19"	5916150	5978153	"protein_coding"	2	95
"ZCCHC8"	"chr12"	122957417	122985518	"protein_coding"	2	100
"SLC4A7"	"chr3"	27414214	27525911	"protein_coding"	2	97
"RNF19A"	"chr8"	101269288	101348446	"protein_coding"	2	99
"VCL"	"chr10"	75757872	75879918	"protein_coding"	2	99
"CUL3"	"chr2"	225334867	225450110	"protein_coding"	2	100
"MYOM2"	"chr8"	1993155	2113475	"protein_coding"	2	100
"SKIV2L2"	"chr5"	54603588	54721409	"protein_coding"	2	98
"TDP1"	"chr14"	90421283	90511106	"protein_coding"	2	100
"TG"	"chr8"	133879203	134147147	"protein_coding"	2	93
"YTHDC2"	"chr5"	112849380	112930982	"protein_coding"	2	98
"FAM214A"	"chr15"	52873514	53002014	"protein_coding"	2	100
"DTNBP1"	"chr6"	15523032	15663289	"protein_coding"	2	78
"HDAC9"	"chr7"	18126572	19042039	"protein_coding"	2	15
"CELF2"	"chr10"	11047259	11378674	"protein_coding"	2	90
"R3HDM1"	"chr2"	136289025	136482840	"protein_coding"	2	100
"HERPUD1"	"chr16"	56965960	56977798	"protein_coding"	2	100
"PLEKHA5"	"chr12"	19282648	19529334	"protein_coding"	2	72
"FOXN3"	"chr14"	89591215	90085493	"protein_coding"	2	78
"MCF2L2"	"chr3"	182895831	183146566	"protein_coding"	2	86
"HHAT"	"chr1"	210501596	210849638	"protein_coding"	2	100
"GALC"	"chr14"	88304164	88460009	"protein_coding"	2	98
"TAB2"	"chr6"	149539777	149732749	"protein_coding"	2	81
"PUM2"	"chr2"	20448452	20551995	"protein_coding"	2	94
"UNKL"	"chr16"	1413206	1464752	"protein_coding"	2	98
"PARP12"	"chr7"	139723544	139763521	"protein_coding"	2	100
"GNA15"	"chr19"	3136191	3163767	"protein_coding"	2	100
"SNRNP40"	"chr1"	31732417	31769662	"protein_coding"	2	97
"SFSWAP"	"chr12"	132195626	132284282	"protein_coding"	2	100
"MON2"	"chr12"	62860597	62991363	"protein_coding"	2	92
"GPBP1"	"chr5"	56469775	56560506	"protein_coding"	2	100
"CS"	"chr12"	56665483	56694176	"protein_coding"	2	99
"APPBP2"	"chr17"	58520520	58603580	"protein_coding"	2	92
"EIF4B"	"chr12"	53399942	53435993	"protein_coding"	2	99
"RNF4"	"chr4"	2463947	2627047	"protein_coding"	2	100
"TAF2"	"chr8"	120743015	120845103	"protein_coding"	2	100
"GNAI3"	"chr1"	110091233	110136975	"protein_coding"	2	97
"WDR3"	"chr1"	118472343	118509165	"protein_coding"	2	98
"MAP2K4"	"chr17"	11924141	12047147	"protein_coding"	2	81
"FAM107B"	"chr10"	14560556	14816896	"protein_coding"	2	94
"CD84"	"chr1"	160510885	160549306	"protein_coding"	2	100
"LRRC40"	"chr1"	70610488	70671303	"protein_coding"	2	92
"ARFGEF1"	"chr8"	68085747	68255912	"protein_coding"	2	97
"STAG3"	"chr7"	99775186	99819111	"protein_coding"	2	100
"SP100"	"chr2"	231280657	231408805	"protein_coding"	2	100
"TRAM1"	"chr8"	71485677	71520622	"protein_coding"	2	100
"EVI5"	"chr1"	92974253	93257961	"protein_coding"	2	36
"TP53BP1"	"chr15"	43699407	43802926	"protein_coding"	2	100
"RRP15"	"chr1"	218458629	218511325	"protein_coding"	2	100
"HDAC4"	"chr2"	239969864	240323348	"protein_coding"	2	100
"OTUD5"	"chrX"	48779305	48815648	"protein_coding"	2	100
"IP6K2"	"chr3"	48725436	48777786	"protein_coding"	2	100
"KIF2A"	"chr5"	61601989	61833076	"protein_coding"	2	88
"RASGRP2"	"chr11"	64494383	64512928	"protein_coding"	2	100
"RORA"	"chr15"	60780483	61521518	"protein_coding"	2	43
"GNB5"	"chr15"	52413117	52483566	"protein_coding"	2	100
"LRP6"	"chr12"	12268959	12419946	"protein_coding"	2	88
"NUCB2"	"chr11"	17229700	17371521	"protein_coding"	2	83
"EIF2B3"	"chr1"	45316450	45452282	"protein_coding"	2	74
"SNX13"	"chr7"	17830385	17980124	"protein_coding"	2	89
"ARHGAP10"	"chr4"	148653214	148993931	"protein_coding"	2	87
"ING3"	"chr7"	120590803	120617270	"protein_coding"	2	100
"SEL1L"	"chr14"	81937893	82000205	"protein_coding"	2	99
"PDCD2"	"chr6"	170884383	170893780	"protein_coding"	2	100
"HMMR"	"chr5"	162887209	162918947	"protein_coding"	2	100
"CHFR"	"chr12"	133398773	133532890	"protein_coding"	2	100
"STK10"	"chr5"	171469077	171615390	"protein_coding"	2	95
"FRY"	"chr13"	32605437	32870794	"protein_coding"	2	99
"NSF"	"chr17"	44668035	44834830	"protein_coding"	2	65
"CLASP1"	"chr2"	122095352	122407163	"protein_coding"	2	100
"EED"	"chr11"	85955586	85989855	"protein_coding"	2	99
"TSG101"	"chr11"	18489883	18548779	"protein_coding"	2	99
"SLC24A1"	"chr15"	65903704	65953333	"protein_coding"	2	100
"ZZEF1"	"chr17"	3907739	4046314	"protein_coding"	2	64
"SLC25A40"	"chr7"	87462883	87505672	"protein_coding"	2	100
"MARK3"	"chr14"	103851729	103970168	"protein_coding"	2	100
"FRYL"	"chr4"	48499378	48782339	"protein_coding"	2	91
"WDR62"	"chr19"	36545783	36596008	"protein_coding"	2	99
"RBMS2"	"chr12"	56915713	56984745	"protein_coding"	2	98
"BAZ2A"	"chr12"	56989380	57030600	"protein_coding"	2	99
"PTPN23"	"chr3"	47422501	47454931	"protein_coding"	2	100
"SNRPA"	"chr19"	41256542	41271294	"protein_coding"	2	100
"SMC1B"	"chr22"	45739944	45809500	"protein_coding"	2	99
"ITGA8"	"chr10"	15555948	15762124	"protein_coding"	2	93
"MAP2"	"chr2"	210288782	210598842	"protein_coding"	2	100
"UBE2K"	"chr4"	39699664	39784412	"protein_coding"	2	100
"PIK3C3"	"chr18"	39535171	39667794	"protein_coding"	2	100
"MLLT10"	"chr10"	21823094	22032559	"protein_coding"	2	93
"NRD1"	"chr1"	52254863	52344477	"protein_coding"	2	92
"SDF4"	"chr1"	1152288	1167411	"protein_coding"	2	100
"CEACAM1"	"chr19"	43011456	43065386	"protein_coding"	2	97
"FDFT1"	"chr8"	11653082	11696818	"protein_coding"	2	100
"KIF22"	"chr16"	29802040	29816706	"protein_coding"	2	100
"LRRC16A"	"chr6"	25279306	25620758	"protein_coding"	2	39
"EPB41L2"	"chr6"	131160487	131384462	"protein_coding"	2	68
"RFX3"	"chr9"	3218297	3526004	"protein_coding"	2	87
"SMARCA2"	"chr9"	2015342	2193624	"protein_coding"	2	98
"CPOX"	"chr3"	98239976	98312567	"protein_coding"	2	99
"AP4E1"	"chr15"	51200869	51298097	"protein_coding"	2	99
"RSBN1"	"chr1"	114304454	114355098	"protein_coding"	2	97
"PTPRC"	"chr1"	198607801	198726545	"protein_coding"	2	100
"ATP8B1"	"chr18"	55313658	55470333	"protein_coding"	2	100
"FYB"	"chr5"	39105338	39274630	"protein_coding"	2	93
"ME2"	"chr18"	48405419	48474691	"protein_coding"	2	100
"XPO1"	"chr2"	61704984	61765761	"protein_coding"	2	100
"ZCCHC6"	"chr9"	88902648	88969369	"protein_coding"	2	100
"PDS5B"	"chr13"	33160564	33352157	"protein_coding"	2	99
"OXCT1"	"chr5"	41730167	41870621	"protein_coding"	2	94
"SLC27A5"	"chr19"	58990879	59023780	"protein_coding"	2	99
"ZNF586"	"chr19"	58281023	58331307	"protein_coding"	2	99
"SMAP2"	"chr1"	40810522	40888998	"protein_coding"	2	94
"STARD7"	"chr2"	96850597	96874563	"protein_coding"	2	100
"REST"	"chr4"	57774075	57802010	"protein_coding"	2	100
"HADHA"	"chr2"	26413504	26467594	"protein_coding"	2	99
"ATRX"	"chrX"	76760356	77041702	"protein_coding"	2	93
"SCAMP1"	"chr5"	77656339	77776562	"protein_coding"	2	100
"MAP3K4"	"chr6"	161412759	161538417	"protein_coding"	2	90
"EPS15"	"chr1"	51819935	51985000	"protein_coding"	2	70
"TMED2"	"chr12"	124069078	124083116	"protein_coding"	2	100
"ZFAND6"	"chr15"	80351910	80430735	"protein_coding"	2	100
"ERGIC2"	"chr12"	29490285	29534122	"protein_coding"	2	100
"TPX2"	"chr20"	30327074	30389608	"protein_coding"	2	100
"DOCK3"	"chr3"	50712672	51421629	"protein_coding"	2	27
"MAPKAPK5"	"chr12"	112279782	112334343	"protein_coding"	2	98
"TASP1"	"chr20"	13246709	13619587	"protein_coding"	2	96
"USP48"	"chr1"	22004791	22110099	"protein_coding"	2	83
"OSBPL8"	"chr12"	76745577	76953589	"protein_coding"	2	76
"WDR7"	"chr18"	54318574	54698828	"protein_coding"	2	92
"RNF31"	"chr14"	24615892	24629870	"protein_coding"	2	100
"HECTD1"	"chr14"	31569318	31677010	"protein_coding"	2	98
"HNRNPC"	"chr14"	21677295	21737653	"protein_coding"	2	100
"TRPM7"	"chr15"	50844670	50979012	"protein_coding"	2	99
"EZR"	"chr6"	159186773	159240444	"protein_coding"	2	100
"RFFL"	"chr17"	33333009	33416338	"protein_coding"	2	89
"SUCO"	"chr1"	172501489	172580971	"protein_coding"	2	100
"MAP3K1"	"chr5"	56111401	56191979	"protein_coding"	2	99
"ARCN1"	"chr11"	118443105	118473748	"protein_coding"	2	99
"WAC"	"chr10"	28821422	28912041	"protein_coding"	2	99
"CREM"	"chr10"	35415719	35501886	"protein_coding"	2	98
"HIVEP1"	"chr6"	12008995	12165232	"protein_coding"	2	85
"ITPR3"	"chr6"	33588142	33664351	"protein_coding"	2	98
"IFT74"	"chr9"	26947037	27062928	"protein_coding"	2	98
"ABL1"	"chr9"	133589333	133763062	"protein_coding"	2	97
"ABLIM1"	"chr10"	116190872	116444762	"protein_coding"	2	87
"MED15"	"chr22"	20850200	20941919	"protein_coding"	2	95
"CRKL"	"chr22"	21271714	21308037	"protein_coding"	2	100
"SPECC1L"	"chr22"	24666786	24813708	"protein_coding"	2	98
"MAPK1"	"chr22"	22108789	22221970	"protein_coding"	2	100
"ADRBK2"	"chr22"	25960816	26125261	"protein_coding"	2	99
"EIF3L"	"chr22"	38244875	38285414	"protein_coding"	2	100
"DEPDC5"	"chr22"	32149944	32303012	"protein_coding"	2	97
"TTC28"	"chr22"	28374004	29075853	"protein_coding"	2	49
"TCF20"	"chr22"	42556019	42739622	"protein_coding"	2	95
"GTPBP1"	"chr22"	39101728	39134304	"protein_coding"	2	100
"TAB1"	"chr22"	39795746	39833065	"protein_coding"	2	100
"SAMM50"	"chr22"	44351301	44406411	"protein_coding"	2	100
"GRAP2"	"chr22"	40297086	40369725	"protein_coding"	2	100
"ACO2"	"chr22"	41865129	41924993	"protein_coding"	2	100
